split,filename,label
train,neg_val_1500.jpg,0
train,neg_train_4547.jpg,0
train,neg_train_2345.jpg,0
train,pos_val_5174.jpg,1
train,pos_val_6400.jpg,1
train,neg_train_13151.jpg,0
train,neg_train_3376.jpg,0
train,pos_val_628.jpg,1
train,pos_val_1322.jpg,1
train,pos_val_8007.jpg,1
train,pos_val_7601.jpg,1
train,neg_train_6585.jpg,0
train,neg_train_13135.jpg,0
train,neg_train_7386.jpg,0
train,pos_val_7519.jpg,1
train,pos_val_9213.jpg,1
train,neg_train_1938.jpg,0
train,pos_val_8901.jpg,1
train,pos_val_497.jpg,1
train,neg_train_5074.jpg,0
train,neg_train_11768.jpg,0
train,pos_val_214.jpg,1
train,pos_val_251.jpg,1
train,pos_val_9329.jpg,1
train,neg_train_8314.jpg,0
train,neg_train_9237.jpg,0
train,pos_val_8841.jpg,1
train,pos_val_693.jpg,1
train,neg_train_12007.jpg,0
train,neg_train_5709.jpg,0
train,neg_train_9977.jpg,0
train,neg_train_6122.jpg,0
train,neg_train_2448.jpg,0
train,neg_train_13346.jpg,0
train,pos_val_2067.jpg,1
train,neg_train_4597.jpg,0
train,pos_val_6505.jpg,1
train,pos_val_1477.jpg,1
train,pos_val_6921.jpg,1
train,pos_val_5411.jpg,1
train,neg_train_11713.jpg,0
train,neg_train_5465.jpg,0
train,pos_val_9768.jpg,1
train,neg_train_4185.jpg,0
train,pos_val_2213.jpg,1
train,neg_train_4518.jpg,0
train,neg_train_8794.jpg,0
train,neg_train_12357.jpg,0
train,pos_val_9328.jpg,1
train,neg_train_2297.jpg,0
train,neg_val_2358.jpg,0
train,pos_val_6858.jpg,1
train,neg_train_2599.jpg,0
train,neg_train_9576.jpg,0
train,neg_val_1419.jpg,0
train,pos_val_3138.jpg,1
train,neg_val_2026.jpg,0
train,neg_train_4531.jpg,0
train,neg_train_3752.jpg,0
train,pos_val_5064.jpg,1
train,pos_val_210.jpg,1
train,pos_val_5301.jpg,1
train,neg_train_8381.jpg,0
train,pos_val_8223.jpg,1
train,neg_train_11973.jpg,0
train,neg_train_12534.jpg,0
train,neg_train_1659.jpg,0
train,neg_train_7170.jpg,0
train,neg_train_10369.jpg,0
train,pos_val_4621.jpg,1
train,neg_train_17.jpg,0
train,neg_val_451.jpg,0
train,neg_train_1290.jpg,0
train,neg_train_780.jpg,0
train,neg_train_6180.jpg,0
train,neg_train_10392.jpg,0
train,neg_train_13831.jpg,0
train,pos_val_5698.jpg,1
train,pos_val_3760.jpg,1
train,pos_val_5178.jpg,1
train,neg_val_171.jpg,0
train,pos_val_9707.jpg,1
train,neg_train_8971.jpg,0
train,neg_train_4543.jpg,0
train,neg_train_12765.jpg,0
train,neg_val_1315.jpg,0
train,neg_val_41.jpg,0
train,neg_train_2354.jpg,0
train,neg_train_5149.jpg,0
train,neg_train_6068.jpg,0
